"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 22 13:05:03 IST 2022","Sun May 22 13:05:05 IST 2022","1462","","Herokuapp Advertisement Page","","Herokuapp Advertisement Page","5.Verify the advertisement are displayed successfully after creation","5.Verify the advertisement are displayed successfully after creation",""
"passed","Sun May 22 13:06:36 IST 2022","Sun May 22 13:06:41 IST 2022","5169","","Herokuapp Advertisement Page","","Herokuapp Advertisement Page","2.Validate the fields present on the create advertisement page","2.Validate the fields present on the create advertisement page",""
"passed","Sun May 22 19:19:47 IST 2022","Sun May 22 19:19:51 IST 2022","4343","","Herokuapp Advertisement App","","Herokuapp Advertisement App","8.Verify the format of price","8.Verify the format of price",""
"passed","Sun May 22 19:21:03 IST 2022","Sun May 22 19:21:14 IST 2022","10181","","Herokuapp Advertisement App","","Herokuapp Advertisement App","6.Edit the existing advertisement","6.Edit the existing advertisement",""
"skipped","Sun May 22 11:47:21 IST 2022","Sun May 22 11:47:21 IST 2022","0","","Herokuapp Advertisement Page","","Herokuapp Advertisement Page","1.Validate the title of the page","1.Validate the title of the page",""
"passed","Sun May 22 19:19:26 IST 2022","Sun May 22 19:19:34 IST 2022","7680","","Herokuapp Advertisement App","","Herokuapp Advertisement App","1.Validate the title of the page","1.Validate the title of the page",""
"passed","Sun May 22 13:06:26 IST 2022","Sun May 22 13:06:36 IST 2022","9927","","Herokuapp Advertisement Page","","Herokuapp Advertisement Page","1.Validate the title of the page","1.Validate the title of the page",""
"passed","Sun May 22 13:51:14 IST 2022","Sun May 22 13:51:20 IST 2022","6264","","Herokuapp Advertisement App","","Herokuapp Advertisement App","1.Validate the title of the page","1.Validate the title of the page",""
"skipped","Sun May 22 19:44:00 IST 2022","Sun May 22 19:44:00 IST 2022","0","","Herokuapp Advertisement App","","Herokuapp Advertisement App","2.Validate the fields present on the create advertisement page","2.Validate the fields present on the create advertisement page",""
"skipped","Sun May 22 19:44:00 IST 2022","Sun May 22 19:44:00 IST 2022","0","","Herokuapp Advertisement App","","Herokuapp Advertisement App","6.Edit the existing advertisement","6.Edit the existing advertisement",""
"skipped","Sun May 22 19:21:14 IST 2022","Sun May 22 19:21:14 IST 2022","1","","Herokuapp Advertisement App","","Herokuapp Advertisement App","9.Verify on what condition, the save button is getting enabled??","9.Verify on what condition, the save button is getting enabled??",""
"skipped","Sun May 22 13:05:03 IST 2022","Sun May 22 13:05:03 IST 2022","0","","Herokuapp Advertisement Page","","Herokuapp Advertisement Page","3.Verify the mandatory fields present on the create advertisement page","3.Verify the mandatory fields present on the create advertisement page",""
"passed","Sun May 22 19:11:11 IST 2022","Sun May 22 19:11:33 IST 2022","21796","","Herokuapp Advertisement App","","Herokuapp Advertisement App","4.Create new advertisements succesfully using Json file","4.Create new advertisements succesfully using Json file",""
"skipped","Sun May 22 19:44:00 IST 2022","Sun May 22 19:44:00 IST 2022","0","","Herokuapp Advertisement App","","Herokuapp Advertisement App","1.Validate the title of the page","1.Validate the title of the page",""
"passed","Sun May 22 13:51:20 IST 2022","Sun May 22 13:51:27 IST 2022","6386","","Herokuapp Advertisement App","","Herokuapp Advertisement App","2.Validate the fields present on the create advertisement page","2.Validate the fields present on the create advertisement page",""
"skipped","Sun May 22 19:44:00 IST 2022","Sun May 22 19:44:00 IST 2022","0","","Herokuapp Advertisement App","","Herokuapp Advertisement App","8.Verify the format of price","8.Verify the format of price",""
"passed","Sun May 22 19:19:45 IST 2022","Sun May 22 19:19:47 IST 2022","2159","","Herokuapp Advertisement App","","Herokuapp Advertisement App","7.Verify if the list of advertisements are getting sorted successfully","7.Verify if the list of advertisements are getting sorted successfully",""
"broken","Sun May 22 12:17:57 IST 2022","Sun May 22 12:18:10 IST 2022","12664","","Herokuapp Advertisement Page","","Herokuapp Advertisement Page","6.Edit the existing advertisement","6.Edit the existing advertisement",""
"skipped","Sun May 22 19:44:00 IST 2022","Sun May 22 19:44:00 IST 2022","1","","Herokuapp Advertisement App","","Herokuapp Advertisement App","4.Create new advertisements succesfully using Json file","4.Create new advertisements succesfully using Json file",""
"skipped","Sun May 22 13:06:48 IST 2022","Sun May 22 13:06:48 IST 2022","0","","Herokuapp Advertisement Page","","Herokuapp Advertisement Page","8.Verify the format of price","8.Verify the format of price",""
"passed","Sun May 22 19:19:52 IST 2022","Sun May 22 19:19:55 IST 2022","3589","","Herokuapp Advertisement App","","Herokuapp Advertisement App","9.Verify on what condition, the save button is getting enabled??","9.Verify on what condition, the save button is getting enabled??",""
